Raman shift,Intensity
401.78,0.000459265
403.962,0.000819077
406.145,0.00104163
408.327,0.000869473
410.508,0.001331672
412.689,0.000792997
414.869,0.001103098
417.049,0.000791454
419.228,0.001163134
421.406,0.001058488
423.584,0.000916743
425.762,0.001135578
427.939,0.000894408
430.115,0.000853558
432.291,0.001068673
434.467,0.000777039
436.641,0.000822981
438.816,0.000549884
440.989,0.000732329
443.162,0.000405056
445.335,0.000922098
447.507,0.000479064
449.679,0.000668892
451.85,0.000892838
454.02,0.000371124
456.19,0.000315333
458.359,-0.000128506
460.528,0.000188126
462.697,-0.00015039
464.864,0.000273047
467.031,0.000304722
469.198,-7.91E-05
471.364,0.000218885
473.53,0.000550985
475.695,-0.000112616
477.859,0.000994765
480.023,0.000785926
482.186,0.000516224
484.349,0.00060337
486.512,0.000851491
488.673,0.001009069
490.834,0.000502586
492.995,0.000631916
495.155,0.000917024
497.315,0.000744326
499.474,0.001105792
501.632,0.00117342
503.79,0.0009754
505.947,0.000937605
508.104,0.001463646
510.26,0.001497004
512.416,0.001032484
514.571,0.000743764
516.726,0.000797778
518.88,0.000921491
521.033,0.001289257
523.186,0.001036718
525.338,0.001067552
527.49,0.00140995
529.642,0.001262619
531.792,0.001414236
533.942,0.000782312
536.092,0.001106689
538.241,0.000856005
540.39,0.000894617
542.538,0.000906456
544.685,0.001542199
546.832,0.00065542
548.978,0.001265801
551.124,0.000690494
553.269,0.001247309
555.414,0.001382627
557.558,0.001273769
559.701,0.001024604
561.844,0.000784999
563.987,0.001342148
566.129,0.001243335
568.27,0.001240881
570.411,0.001291752
572.551,0.000994556
574.691,0.001182486
576.83,0.000647666
578.968,0.001221934
581.106,0.001151349
583.244,0.000739359
585.381,0.000146963
587.517,0.000186577
589.653,0.000554004
591.788,0.000582982
593.922,-4.70E-05
596.057,0.00053148
598.19,0.000689156
600.323,0.00016411
602.455,-0.000171884
604.587,-1.00E-04
606.719,-0.000534927
608.849,1.52E-05
610.98,-0.00046603
613.109,0.00023667
615.238,0.000162401
617.367,-0.000242934
619.495,0.000943023
621.622,0.000788133
623.749,0.000403816
625.875,-0.000235897
628.001,0.00024306
630.126,0.000398358
632.25,0.000236673
634.374,0.000354521
636.498,0.000525609
638.621,0.00026545
640.743,0.000934756
642.865,0.000258745
644.986,0.00041129
647.107,0.00023571
649.227,0.000354489
651.346,-0.00033267
653.465,0.000152238
655.584,0.000228141
657.701,-0.000697769
659.819,0.000113738
661.935,0.000232816
664.052,0.000288627
666.167,0.000307138
668.282,2.27E-05
670.397,0.000502321
672.51,0.000415602
674.624,-0.000166197
676.736,-0.00034088
678.849,4.36E-05
680.96,-0.000582556
683.071,0.00010797
685.182,-0.000378429
687.292,-0.000960008
689.401,-0.000794666
691.51,-0.000353534
693.618,-0.001021807
695.726,-0.000438637
697.833,-0.000737834
699.939,-0.000684809
702.045,-0.000318882
704.151,0.00024792
706.255,0.00010673
708.36,-9.41E-06
710.463,5.60E-05
712.566,0.000179201
714.669,0.000604907
716.771,0.000715873
718.872,0.000965428
720.973,0.001171061
723.073,0.001385455
725.173,0.00082587
727.272,0.001098606
729.371,0.000727213
731.469,0.000308955
733.566,-0.000245195
735.663,0.000164318
737.759,-0.000341085
739.855,-0.000138041
741.95,4.93E-05
744.045,-8.54E-05
746.139,0.001179079
748.232,0.000145699
750.325,0.00023628
752.417,0.000272629
754.509,4.26E-05
756.6,0.00079698
758.691,0.000426572
760.781,8.65E-05
762.87,0.000133007
764.959,0.000533346
767.047,0.000303007
769.135,0.000456224
771.222,0.000731098
773.309,0.001728605
775.395,0.002139971
777.48,0.002911915
779.565,0.00335073
781.649,0.002775323
783.733,0.002921831
785.816,0.002665483
787.898,0.00265622
789.98,0.001494753
792.062,0.001069317
794.143,0.001422206
796.223,0.001712067
798.302,0.001660679
800.382,0.001147851
802.46,0.001875591
804.538,0.001417027
806.615,0.001790232
808.692,0.002150884
810.768,0.002249696
812.844,0.001964253
814.919,0.00133759
816.993,0.001559777
819.067,0.001714526
821.141,0.00145387
823.213,0.001827656
825.286,0.001266686
827.357,0.000961776
829.428,0.001847025
831.499,0.001278172
833.568,0.000282062
835.638,0.001026638
837.706,0.000780831
839.774,0.000894227
841.842,0.000985474
843.909,0.000424669
845.975,0.001244722
848.041,0.001558149
850.106,0.002178855
852.171,0.001666002
854.235,0.001480466
856.298,0.001651185
858.361,0.001517094
860.424,0.001397229
862.485,0.00178498
864.547,0.001502151
866.607,0.001501393
868.667,0.001778997
870.727,0.001146381
872.785,0.000936808
874.844,0.001184408
876.901,0.001433634
878.958,0.001178485
881.015,0.001912482
883.071,0.001458041
885.126,0.00164478
887.181,0.001651376
889.235,0.001662571
891.289,0.002030045
893.342,0.001367859
895.394,0.001486342
897.446,0.002328365
899.497,0.001436631
901.548,0.001439084
903.598,0.00135785
905.647,0.000838283
907.696,0.001259645
909.744,0.001232288
911.792,0.001322309
913.839,0.001352386
915.886,0.000996809
917.932,0.001053159
919.977,0.001667599
922.022,0.001184123
924.066,0.001049509
926.11,0.000957338
928.153,0.000592284
930.196,0.000392091
932.237,0.000354533
934.279,0.00049964
936.319,0.000360734
938.36,0.00099285
940.399,0.000697692
942.438,0.000457584
944.476,0.000476559
946.514,0.000739777
948.551,0.000554269
950.588,0.000433453
952.624,0.000564297
954.659,0.000713833
956.694,0.000407961
958.729,0.000490263
960.762,0.000382028
962.795,0.0005989
964.828,0.00071575
966.86,0.000627962
968.891,-6.81E-05
970.922,0.000133019
972.952,-0.000468525
974.981,0.000141648
977.01,8.42E-05
979.039,3.51E-05
981.066,-6.22E-05
983.094,0.00046098
985.12,0.000342488
987.146,2.97E-05
989.172,0.000565154
991.196,0.000954536
993.221,0.000737885
995.244,0.001096363
997.267,0.001526936
999.29,0.002838317
1001.312,0.004140178
1003.333,0.00397758
1005.354,0.001389713
1007.374,0.001888428
1009.393,0.001228358
1011.412,0.001243571
1013.43,0.001388
1015.448,0.001067351
1017.465,0.001102205
1019.482,0.001294463
1021.498,0.001131445
1023.513,0.001621441
1025.528,0.001722771
1027.542,0.001995593
1029.555,0.002362746
1031.568,0.002426548
1033.581,0.002230029
1035.593,0.001174444
1037.604,0.001645119
1039.614,0.001531239
1041.624,0.001404835
1043.634,0.001734809
1045.643,0.001040252
1047.651,0.00097568
1049.658,0.001112251
1051.665,0.001320865
1053.672,0.001516197
1055.678,0.001605499
1057.683,0.000955898
1059.688,0.001302039
1061.692,0.001836691
1063.695,0.001703656
1065.698,0.001788801
1067.7,0.001923706
1069.702,0.00221001
1071.703,0.001977
1073.703,0.002164705
1075.703,0.002042314
1077.703,0.002363631
1079.701,0.001725648
1081.699,0.002277012
1083.697,0.002861037
1085.694,0.002088813
1087.69,0.002405761
1089.686,0.003232422
1091.681,0.002729529
1093.675,0.00297376
1095.669,0.003068108
1097.662,0.003242567
1099.655,0.003326486
1101.647,0.002773795
1103.639,0.002557167
1105.63,0.002560854
1107.62,0.002148267
1109.61,0.002193404
1111.599,0.002112352
1113.587,0.001402815
1115.575,0.001645111
1117.562,0.001641747
1119.549,0.001745138
1121.535,0.001329081
1123.521,0.001396668
1125.506,0.001215601
1127.49,0.0011331
1129.474,0.000781897
1131.457,-0.000107336
1133.439,0.000236397
1135.421,0.000192699
1137.402,-0.000607182
1139.383,-0.000590343
1141.363,-0.000422311
1143.343,-0.000712221
1145.322,0.00015141
1147.3,-0.000589206
1149.278,-0.000292033
1151.255,-0.000205756
1153.231,-0.000618994
1155.207,-0.00086549
1157.182,-0.000396955
1159.157,-0.00083601
1161.131,-0.000994071
1163.104,-0.000765045
1165.077,-0.001318223
1167.05,-0.000625891
1169.021,-0.000840408
1170.992,-0.000423734
1172.963,-0.000383418
1174.933,-0.000548811
1176.902,-0.000936231
1178.87,-0.000673898
1180.839,-0.000754518
1182.806,-0.000787085
1184.773,-0.000679837
1186.739,-0.000778911
1188.705,-0.000964931
1190.67,-0.001180018
1192.634,-0.000390641
1194.598,-7.32E-05
1196.561,-0.000281233
1198.524,0.000426246
1200.486,0.00071817
1202.447,0.001056778
1204.408,0.001027342
1206.368,0.000692937
1208.328,0.001590872
1210.286,0.001289829
1212.245,0.001672858
1214.203,0.001613711
1216.16,0.002166692
1218.116,0.002184038
1220.072,0.003073958
1222.027,0.002889619
1223.982,0.003037005
1225.936,0.003689741
1227.89,0.00381803
1229.843,0.003563593
1231.795,0.003889476
1233.747,0.004219947
1235.698,0.004620306
1237.648,0.004589016
1239.598,0.004134247
1241.547,0.003808753
1243.496,0.003950868
1245.444,0.004170342
1247.391,0.003232602
1249.338,0.003742597
1251.284,0.004158593
1253.23,0.003305369
1255.175,0.003026648
1257.119,0.00408515
1259.063,0.003157006
1261.006,0.00329381
1262.949,0.003229085
1264.891,0.002907935
1266.832,0.003166531
1268.773,0.002446071
1270.713,0.002945664
1272.652,0.002574538
1274.591,0.002653349
1276.53,0.002740651
1278.467,0.002709581
1280.404,0.003326565
1282.341,0.003123317
1284.277,0.00356888
1286.212,0.003991806
1288.146,0.003759971
1290.08,0.003224317
1292.014,0.004569114
1293.947,0.004353261
1295.879,0.003964188
1297.81,0.00465058
1299.741,0.004286791
1301.672,0.004178636
1303.601,0.00439883
1305.53,0.004626859
1307.459,0.004218727
1309.387,0.004437214
1311.314,0.00519255
1313.241,0.005463832
1315.167,0.005657646
1317.092,0.005449025
1319.017,0.005488652
1320.941,0.005333592
1322.865,0.005258364
1324.788,0.005564197
1326.71,0.004712313
1328.632,0.006336725
1330.553,0.005973194
1332.473,0.006035988
1334.393,0.006166749
1336.313,0.004874184
1338.231,0.004910139
1340.149,0.004574835
1342.067,0.003475044
1343.984,0.003631061
1345.9,0.003352751
1347.816,0.003157986
1349.731,0.003379152
1351.645,0.003395987
1353.559,0.002796716
1355.472,0.003646889
1357.384,0.002394851
1359.296,0.003282254
1361.208,0.00314696
1363.118,0.003363777
1365.028,0.00367599
1366.938,0.004703857
1368.847,0.004645952
1370.755,0.005090758
1372.663,0.004463139
1374.57,0.004870935
1376.476,0.004116525
1378.382,0.003624422
1380.287,0.002928688
1382.191,0.002444801
1384.095,0.002547435
1385.999,0.002472391
1387.901,0.002586921
1389.803,0.00220473
1391.705,0.001188552
1393.606,0.001594292
1395.506,0.00204565
1397.405,0.001977264
1399.304,0.001434388
1401.203,0.001908308
1403.1,0.001858758
1404.997,0.001566184
1406.894,0.00167384
1408.79,0.001656427
1410.685,0.002551912
1412.58,0.001973473
1414.474,0.001438368
1416.367,0.00149785
1418.26,0.001861071
1420.152,0.002050219
1422.044,0.001625317
1423.935,0.001204393
1425.825,0.001432925
1427.715,0.002149164
1429.604,0.002789972
1431.492,0.002970278
1433.38,0.00291859
1435.267,0.003468839
1437.154,0.00366095
1439.04,0.003404399
1440.925,0.004077698
1442.81,0.004593159
1444.694,0.00446332
1446.577,0.004162271
1448.46,0.004408199
1450.343,0.004143093
1452.224,0.003765362
1454.105,0.004071098
1455.986,0.003948125
1457.865,0.003364532
1459.745,0.003096374
1461.623,0.003672644
1463.501,0.002650872
1465.378,0.002681249
1467.255,0.002426793
1469.131,0.002233236
1471.006,0.00223931
1472.881,0.002226131
1474.755,0.002377691
1476.629,0.001673813
1478.502,0.001711135
1480.374,0.00156445
1482.246,0.001612877
1484.117,0.000978693
1485.987,0.000767372
1487.857,0.000267384
1489.726,0.000227334
1491.595,-0.00029431
1493.463,-0.000287783
1495.33,-0.000226451
1497.197,-0.000366294
1499.063,-0.000392
1500.928,-0.000619646
1502.793,-0.001039595
1504.657,-0.000622048
1506.521,-0.001170665
1508.384,-0.000857318
1510.246,-0.000991536
1512.108,-0.000881095
1513.969,-0.001204133
1515.83,-0.000772069
1517.689,-0.001042815
1519.549,-0.00093166
1521.407,-0.001037348
1523.265,-0.001037348
1525.122,-0.001037348
1526.979,-0.000482901
1528.835,-0.000824378
1530.691,-0.00068379
1532.546,-0.000204329
1534.4,-0.000544155
1536.253,-0.000689036
1538.106,-0.000511354
1539.959,-0.000354622
1541.81,0.000186265
1543.661,-0.000141822
1545.512,7.38E-05
1547.362,-0.000914948
1549.211,0.000670707
1551.06,0.000577217
1552.908,0.000652757
1554.755,0.000383911
1556.602,0.000203236
1558.448,0.000211642
1560.293,0.000945557
1562.138,0.00022369
1563.982,0.001116928
1565.826,0.001476627
1567.669,0.002011342
1569.511,0.00173653
1571.353,0.001746555
1573.194,0.001645228
1575.034,0.001893298
1576.874,0.001457996
1578.713,0.001944878
1580.552,0.001727625
1582.39,0.001466566
1584.227,0.001425838
1586.064,0.001727864
1587.9,0.001402939
1589.735,0.000830199
1591.57,0.000978618
1593.404,0.000775361
1595.237,0.000733111
1597.07,0.000972811
1598.903,0.001375754
1600.734,0.001067945
1602.565,0.001202359
1604.396,0.000654224
1606.225,0.001191581
1608.055,0.001077561
1609.883,0.00099846
1611.711,0.001788963
1613.538,0.001609811
1615.365,0.001468562
1617.191,0.000985346
1619.016,0.001243398
1620.841,0.00108159
1622.665,0.001051186
1624.488,0.000713705
1626.311,0.00123251
1628.133,0.001253568
1629.955,0.001925405
1631.776,0.002022342
1633.596,0.001992515
1635.416,0.002134928
1637.235,0.001985132
1639.053,0.002676812
1640.871,0.002397417
1642.688,0.003449927
1644.505,0.003508369
1646.321,0.003809557
1648.136,0.004146493
1649.951,0.00439602
1651.765,0.00459301
1653.578,0.004932595
1655.391,0.004642422
1657.203,0.005000108
1659.014,0.004416425
1660.825,0.005062283
1662.635,0.005623714
1664.445,0.005668909
1666.254,0.005109579
1668.062,0.004864244
1669.87,0.004250321
1671.677,0.005031396
1673.483,0.004517202
1675.289,0.0046531
1677.094,0.004594023
1678.899,0.003525321
1680.703,0.003724741
1682.506,0.003304052
1684.309,0.003002964
1686.111,0.003198379
1687.912,0.002974002
1689.713,0.002597672
1691.513,0.002582806
1693.312,0.002634853
1695.111,0.001847905
1696.909,0.001102639
1698.707,0.001275281
1700.504,0.001462891
1702.3,0.001035559
1704.096,0.000301931
1705.891,0.000885361
1707.685,0.0006001
1709.479,-8.64E-05
1711.272,0.000314821
1713.064,0.000635315
1714.856,0.000372751
1716.647,6.43E-05
1718.438,-0.000170621
1720.228,6.79E-05
1722.017,0.000123299
1723.806,0.000189897
1725.594,0.000283292
1727.381,-0.000209357
1729.168,-0.000256762
1730.954,5.72E-05
1732.74,0.000311959
1734.525,0.000750014
1736.309,-0.000177765
1738.093,0.000447402
1739.875,0.000691281
1741.658,0.000434417
1743.44,0.000662845
1745.221,0.000466203
1747.001,0.000442491
1748.781,0.000234094
1750.56,0.000284686
1752.338,0.000143168
1754.116,0.000168635
1755.894,-0.000123401
1757.67,0.000144028
1759.446,0.000473822
1761.221,0.000150008
1762.996,-6.32E-05
1764.77,0.000334201
1766.544,0.000129201
1768.316,-0.000163318
1770.089,-0.000164228
1771.86,-4.02E-07
1773.631,-3.61E-05
1775.401,0.000337705
1777.171,-0.000229214
1778.94,0.00035092
1780.708,0.000546003
1782.476,-8.84E-05
1784.243,-0.000127728
1786.009,-7.14E-05
1787.775,-3.84E-06
1789.54,0.00046433
1791.305,-0.000156661
1793.068,-0.00014626
1794.832,-0.000685633
1796.594,-0.000457099
1798.356,-0.000234501
